000616,XSHE,海航投资
000617,XSHE,石油济柴
000619,XSHE,海螺型材
000620,XSHE,新华联
000622,XSHE,恒立实业
000623,XSHE,吉林敖东
000625,XSHE,长安汽车
000626,XSHE,如意集团
000627,XSHE,天茂集团
000628,XSHE,高新发展
000629,XSHE,攀钢钒钛
000630,XSHE,铜陵有色
000631,XSHE,顺发恒业
000632,XSHE,三木集团
000633,XSHE,合金投资
000635,XSHE,英 力 特
000636,XSHE,风华高科
000637,XSHE,茂化实华
000638,XSHE,万方发展
000639,XSHE,西王食品
000650,XSHE,仁和药业
000651,XSHE,格力电器
000652,XSHE,泰达股份
000655,XSHE,金岭矿业
000656,XSHE,金科股份
000657,XSHE,中钨高新
000659,XSHE,*ST中富
000661,XSHE,长春高新
000662,XSHE,索芙特
000663,XSHE,永安林业
000665,XSHE,湖北广电
000666,XSHE,经纬纺机
000667,XSHE,美好集团
000668,XSHE,荣丰控股
000669,XSHE,金鸿能源
000670,XSHE,盈方微
000671,XSHE,阳 光 城
000672,XSHE,上峰水泥
000673,XSHE,当代东方
000676,XSHE,智度投资
000677,XSHE,*ST海龙
000678,XSHE,襄阳轴承
000679,XSHE,大连友谊
000680,XSHE,山推股份
000681,XSHE,视觉中国
000682,XSHE,东方电子
000683,XSHE,远兴能源
000685,XSHE,中山公用
000686,XSHE,东北证券
000687,XSHE,华讯方舟
000688,XSHE,建新矿业
000690,XSHE,宝新能源
000691,XSHE,亚太实业
000692,XSHE,惠天热电
000693,XSHE,华泽钴镍
000695,XSHE,滨海能源
000697,XSHE,炼石有色
000698,XSHE,沈阳化工
000700,XSHE,模塑科技
000701,XSHE,厦门信达
000702,XSHE,正虹科技
000703,XSHE,恒逸石化
000705,XSHE,浙江震元
000707,XSHE,双环科技
000708,XSHE,大冶特钢
000709,XSHE,河北钢铁
000710,XSHE,天兴仪表
000711,XSHE,*ST京蓝
000712,XSHE,锦龙股份
000713,XSHE,丰乐种业
000715,XSHE,中兴商业
000716,XSHE,黑芝麻
000717,XSHE,韶钢松山
000718,XSHE,苏宁环球
000719,XSHE,大地传媒
000720,XSHE,新能泰山
000721,XSHE,西安饮食
000722,XSHE,湖南发展
000723,XSHE,美锦能源
000725,XSHE,京东方Ａ
000726,XSHE,鲁  泰Ａ
000727,XSHE,华东科技
000728,XSHE,国元证券
000729,XSHE,燕京啤酒
000731,XSHE,四川美丰
000732,XSHE,泰禾集团
000733,XSHE,振华科技
000735,XSHE,罗 牛 山
000736,XSHE,中房地产
000737,XSHE,南风化工
000738,XSHE,中航动控
000739,XSHE,普洛药业
000748,XSHE,长城信息
000750,XSHE,国海证券
000751,XSHE,锌业股份
000752,XSHE,西藏发展
000753,XSHE,漳州发展
000755,XSHE,山西三维
000756,XSHE,新华制药
000757,XSHE,浩物股份
000758,XSHE,中色股份
000759,XSHE,中百集团
000760,XSHE,斯太尔
000761,XSHE,本钢板材
000762,XSHE,西藏矿业
000766,XSHE,通化金马
000767,XSHE,漳泽电力
000768,XSHE,中航飞机
000776,XSHE,广发证券
000777,XSHE,中核科技
000778,XSHE,新兴铸管
000779,XSHE,三毛派神
000780,XSHE,平庄能源
000782,XSHE,美达股份
000783,XSHE,长江证券
000785,XSHE,武汉中商
000786,XSHE,北新建材
000788,XSHE,北大医药
000789,XSHE,万年青
000790,XSHE,华神集团
000791,XSHE,甘肃电投
000792,XSHE,盐湖股份
000793,XSHE,华闻传媒
000795,XSHE,太原刚玉
000796,XSHE,凯撒旅游
000797,XSHE,中国武夷
000798,XSHE,中水渔业
000799,XSHE,*ST酒鬼
000800,XSHE,一汽轿车
000801,XSHE,四川九洲
000802,XSHE,北京文化
000803,XSHE,金宇车城
000806,XSHE,银河生物
000807,XSHE,云铝股份
000809,XSHE,铁岭新城
000810,XSHE,创维数字
000811,XSHE,烟台冰轮
000812,XSHE,陕西金叶
000813,XSHE,天山纺织
000815,XSHE,*ST美利
000816,XSHE,智慧农业
000818,XSHE,方大化工
000819,XSHE,岳阳兴长
000820,XSHE,金城股份
000821,XSHE,京山轻机
000822,XSHE,山东海化
000823,XSHE,超声电子
000825,XSHE,太钢不锈
000826,XSHE,启迪桑德
000828,XSHE,东莞控股
000829,XSHE,天音控股
000830,XSHE,鲁西化工
000831,XSHE,五矿稀土
000833,XSHE,贵糖股份
000835,XSHE,长城动漫
000836,XSHE,鑫茂科技
000837,XSHE,秦川机床
000838,XSHE,财信发展
000839,XSHE,中信国安
000848,XSHE,承德露露
000850,XSHE,华茂股份
000851,XSHE,高鸿股份
000852,XSHE,石化机械
000856,XSHE,冀东装备
000858,XSHE,五 粮 液
000859,XSHE,国风塑业
000860,XSHE,顺鑫农业
000861,XSHE,海印股份
000862,XSHE,银星能源
000863,XSHE,三湘股份
000868,XSHE,安凯客车
000869,XSHE,张  裕Ａ
000875,XSHE,吉电股份
000876,XSHE,新 希 望
000877,XSHE,天山股份
000878,XSHE,云南铜业
000880,XSHE,潍柴重机
000881,XSHE,大连国际
000882,XSHE,华联股份
000883,XSHE,湖北能源
000885,XSHE,同力水泥
000886,XSHE,海南高速
000887,XSHE,中鼎股份
000888,XSHE,峨眉山Ａ
000889,XSHE,茂业通信
000890,XSHE,法 尔 胜
000892,XSHE,*ST星美
000893,XSHE,东凌粮油
000895,XSHE,双汇发展
000897,XSHE,津滨发展
000898,XSHE,鞍钢股份
000899,XSHE,赣能股份
000900,XSHE,现代投资
000901,XSHE,航天科技
000902,XSHE,新洋丰
000903,XSHE,云内动力
000905,XSHE,厦门港务
000906,XSHE,物产中拓
000908,XSHE,景峰医药
000909,XSHE,数源科技
000910,XSHE,大亚科技
000911,XSHE,南宁糖业
000912,XSHE,*ST天化
000913,XSHE,钱江摩托
000915,XSHE,山大华特
000916,XSHE,华北高速
000917,XSHE,电广传媒
000918,XSHE,嘉凯城
000919,XSHE,金陵药业
000920,XSHE,南方汇通
000921,XSHE,海信科龙
000922,XSHE,佳电股份
000923,XSHE,河北宣工
000925,XSHE,众合科技
000926,XSHE,福星股份
000927,XSHE,*ST夏利
000928,XSHE,中钢国际
000929,XSHE,兰州黄河
000930,XSHE,中粮生化
000931,XSHE,中 关 村
000932,XSHE,华菱钢铁
000933,XSHE,神火股份
000935,XSHE,四川双马
000936,XSHE,华西股份
000937,XSHE,冀中能源
000938,XSHE,紫光股份
000939,XSHE,凯迪生态
000948,XSHE,南天信息
000949,XSHE,新乡化纤
000950,XSHE,建峰化工
000951,XSHE,中国重汽
000952,XSHE,广济药业
000953,XSHE,河池化工
