sz000600,建投能源,10.70
sz000601,韶能股份,11.26
sz000603,盛达矿业,0.00
sz000605,渤海股份,23.20
sz000606,青海明胶,0.00
sz000607,华媒控股,13.93
sz000608,阳光股份,5.96
sz000609,绵世股份,16.06
sz000610,西安旅游,14.87
sz000611,*ST蒙发,9.72
sz000612,焦作万方,7.10
sz000613,大东海A,14.78
sz000615,湖北金环,17.19
sz000616,海航投资,8.64
sz000617,石油济柴,14.78
sz000619,海螺型材,15.34
sz000620,新华联,11.22
sz000622,恒立实业,14.29
sz000623,吉林敖东,30.57
sz000625,长安汽车,15.16
sz000626,如意集团,0.00
sz000627,天茂集团,11.03
sz000628,高新发展,16.86
sz000629,攀钢钒钛,3.16
sz000630,铜陵有色,4.08
sz000631,顺发恒业,9.10
sz000632,三木集团,10.75
sz000633,合金投资,17.14
sz000635,英 力 特,13.70
sz000636,风华高科,11.16
sz000637,茂化实华,7.86
sz000638,万方发展,24.30
sz000639,西王食品,15.21
sz000650,仁和药业,11.31
sz000651,格力电器,18.54
sz000652,泰达股份,7.06
sz000655,金岭矿业,9.42
sz000656,金科股份,6.10
sz000657,中钨高新,0.00
sz000659,*ST中富,5.56
sz000661,长春高新,117.14
sz000662,索芙特,21.21
sz000663,永安林业,17.54
sz000665,湖北广电,21.50
sz000666,经纬纺机,23.45
sz000667,美好集团,5.54
sz000668,荣丰控股,23.52
sz000669,金鸿能源,24.96
sz000670,盈方微,14.45
sz000671,阳 光 城,7.77
sz000672,上峰水泥,0.00
sz000673,当代东方,32.06
sz000676,智度投资,39.78
sz000677,*ST海龙,0.00
sz000678,襄阳轴承,9.67
sz000679,大连友谊,0.00
sz000680,山推股份,7.08
sz000681,视觉中国,38.95
sz000682,东方电子,7.15
sz000683,远兴能源,5.77
sz000685,中山公用,15.59
sz000686,东北证券,18.80
sz000687,华讯方舟,28.55
sz000688,建新矿业,0.00
sz000690,宝新能源,10.05
sz000691,亚太实业,9.02
sz000692,惠天热电,7.29
sz000693,华泽钴镍,17.85
sz000695,滨海能源,0.00
sz000697,炼石有色,26.32
sz000698,沈阳化工,8.08
sz000700,模塑科技,21.12
sz000701,厦门信达,21.98
sz000702,正虹科技,13.88
sz000703,恒逸石化,12.03
sz000705,浙江震元,14.71
sz000707,双环科技,8.34
sz000708,大冶特钢,11.67
sz000709,河北钢铁,3.36
sz000710,天兴仪表,30.46
sz000711,*ST京蓝,0.00
sz000712,锦龙股份,31.62
sz000713,丰乐种业,12.25
sz000715,中兴商业,13.20
sz000716,黑芝麻,0.00
sz000717,韶钢松山,5.13
sz000718,苏宁环球,0.00
sz000719,大地传媒,22.27
sz000720,新能泰山,9.89
sz000721,西安饮食,8.45
sz000722,湖南发展,21.27
sz000723,美锦能源,11.10
sz000725,京东方Ａ,3.09
